household_id,monthly_electricity_consumption_kwh,household_income,household_size,urban_or_rural,appliance_count,renewable_energy_access,electricity_dependency_score
HH_00001,187.7,9309,2,Rural,2,No,10.0
HH_00002,228.1,25293,5,Urban,3,No,7.69
HH_00003,164.8,21190,2,Rural,1,Yes,9.82
HH_00004,206.9,12346,2,Rural,1,No,9.65
HH_00005,100.9,29616,4,Urban,1,No,6.87
HH_00006,188.7,23457,6,Rural,2,No,9.9
HH_00007,160.0,14601,1,Rural,1,No,10.0
HH_00008,178.7,20614,4,Rural,1,No,8.35
HH_00009,268.0,91011,1,Urban,9,Yes,7.01
HH_00010,192.5,31570,2,Urban,1,No,7.33
HH_00011,194.7,71019,3,Urban,5,Yes,6.52
HH_00012,152.0,25178,4,Rural,1,No,9.38
HH_00013,165.9,14512,4,Urban,1,Yes,8.05
HH_00014,201.8,9291,5,Rural,2,No,10.0
HH_00015,198.2,21225,4,Urban,2,No,6.96
HH_00016,230.7,20956,3,Urban,2,No,8.09
HH_00017,235.0,33154,4,Urban,3,Yes,6.49
HH_00018,235.3,50609,1,Urban,5,Yes,6.96
HH_00019,219.3,38224,3,Rural,5,No,8.74
HH_00020,179.4,42108,3,Urban,2,No,8.03
HH_00021,193.5,13776,1,Rural,2,Yes,9.28
HH_00022,166.2,10034,6,Urban,1,No,7.63
HH_00023,199.7,18778,5,Rural,2,No,10.0
HH_00024,195.7,18280,2,Rural,2,No,8.85
HH_00025,134.9,20088,1,Rural,2,No,8.78
HH_00026,352.4,123852,4,Urban,13,Yes,4.26
HH_00027,210.0,73678,4,Urban,5,Yes,6.5
HH_00028,258.7,56057,5,Urban,6,Yes,6.25
HH_00029,177.8,19650,4,Urban,1,Yes,7.46
HH_00030,229.3,13231,4,Rural,1,No,9.47
HH_00031,130.6,17004,2,Rural,3,No,8.34
HH_00032,221.4,11303,4,Rural,1,Yes,8.66
HH_00033,213.9,47258,1,Urban,4,No,5.88
HH_00034,265.6,43358,8,Urban,5,Yes,6.82
HH_00035,190.0,18217,5,Urban,1,No,6.94
HH_00036,266.2,71767,3,Urban,6,Yes,8.43
HH_00037,201.5,37215,6,Urban,3,Yes,8.55
HH_00038,179.3,12402,3,Urban,1,No,8.87
HH_00039,218.4,33938,6,Urban,2,Yes,6.37
HH_00040,148.3,21308,4,Rural,2,Yes,8.99
HH_00041,252.3,62741,3,Urban,7,No,5.92
HH_00042,215.6,14700,6,Rural,1,No,10.0
HH_00043,265.3,29581,5,Rural,4,No,9.65
HH_00044,137.5,39159,2,Urban,3,No,6.47
HH_00045,218.4,8177,8,Rural,2,Yes,9.67
HH_00046,137.1,7700,4,Rural,1,No,8.2
HH_00047,202.4,68640,1,Urban,8,No,6.66
HH_00048,291.6,71732,2,Urban,9,Yes,6.57
HH_00049,176.5,21848,4,Rural,1,Yes,9.72
HH_00050,270.6,85864,6,Urban,8,No,7.25
HH_00051,249.0,65977,1,Urban,6,No,6.83
HH_00052,239.5,52747,7,Urban,5,Yes,6.88
HH_00053,217.4,10418,7,Rural,1,No,6.75
HH_00054,216.9,50867,5,Rural,4,Yes,9.84
HH_00055,180.0,24832,5,Rural,1,No,8.54
HH_00056,139.2,14280,1,Rural,1,No,9.34
HH_00057,245.4,23438,5,Urban,3,Yes,9.4
HH_00058,160.0,40830,1,Urban,3,Yes,6.32
HH_00059,181.0,12841,2,Urban,1,No,7.81
HH_00060,229.1,53258,5,Urban,4,Yes,7.45
HH_00061,154.6,10157,6,Rural,1,No,10.0
HH_00062,198.4,43715,3,Urban,4,No,7.23
HH_00063,150.9,25594,4,Urban,2,No,8.5
HH_00064,211.5,15359,4,Rural,2,No,8.91
HH_00065,170.2,22224,1,Urban,1,No,8.05
HH_00066,224.5,31772,4,Urban,3,No,7.77
HH_00067,293.9,108741,1,Urban,12,No,5.96
HH_00068,183.1,80349,3,Urban,6,Yes,6.81
HH_00069,220.6,43294,3,Urban,5,No,6.53
HH_00070,202.8,34472,3,Urban,3,Yes,7.16
HH_00071,233.8,58082,5,Urban,6,Yes,5.93
HH_00072,262.7,68946,7,Urban,6,No,6.41
HH_00073,124.4,10940,2,Rural,1,No,10.0
HH_00074,197.5,33410,1,Urban,4,Yes,7.75
HH_00075,190.3,11730,6,Urban,1,No,8.06
HH_00076,213.5,68662,5,Urban,7,Yes,5.49
HH_00077,338.5,120827,4,Urban,12,No,6.07
HH_00078,165.5,18886,3,Rural,1,No,9.13
HH_00079,178.6,9780,3,Urban,1,No,8.27
HH_00080,234.6,25937,5,Rural,2,No,10.0
HH_00081,197.0,10463,4,Rural,1,No,9.01
HH_00082,137.2,23507,3,Urban,2,Yes,7.34
HH_00083,245.3,26214,8,Rural,3,No,9.78
HH_00084,257.9,40775,2,Urban,4,Yes,6.8
HH_00085,260.1,26114,4,Urban,4,No,7.62
HH_00086,187.9,23702,1,Urban,3,Yes,5.99
HH_00087,210.4,19411,6,Rural,1,No,8.92
HH_00088,176.1,27376,5,Urban,2,Yes,8.57
HH_00089,162.7,17989,1,Urban,2,Yes,7.96
HH_00090,204.5,28668,5,Urban,3,Yes,8.22
HH_00091,203.5,42909,2,Urban,4,No,8.0
HH_00092,161.6,16175,5,Rural,1,No,10.0
HH_00093,208.3,14987,5,Urban,1,Yes,7.47
HH_00094,183.6,63357,6,Urban,6,Yes,7.62
HH_00095,219.7,6767,4,Urban,1,Yes,9.7
HH_00096,190.4,26776,3,Urban,1,No,7.51
HH_00097,270.1,24124,5,Urban,3,No,6.53
HH_00098,204.0,38254,6,Urban,3,No,6.85
HH_00099,224.4,49025,5,Urban,5,No,7.5
HH_00100,252.1,35390,6,Rural,5,Yes,7.55
HH_00101,192.8,11739,3,Rural,1,No,8.7
HH_00102,190.2,25593,5,Rural,1,No,8.79
HH_00103,165.4,39363,4,Urban,3,No,7.39
HH_00104,213.8,6445,4,Rural,1,No,10.0
HH_00105,263.5,56300,6,Rural,5,No,9.05
HH_00106,167.7,7592,6,Rural,1,No,8.49
HH_00107,209.3,45017,6,Urban,4,Yes,10.0
HH_00108,296.1,44226,5,Urban,4,Yes,7.2
HH_00109,249.3,41294,5,Urban,5,No,5.93
HH_00110,245.3,13378,8,Rural,2,No,8.45
HH_00111,215.1,57495,4,Urban,5,Yes,6.15
HH_00112,207.6,13723,5,Urban,2,No,6.69
HH_00113,143.6,33644,4,Urban,1,Yes,7.82
HH_00114,171.3,24953,2,Urban,3,Yes,5.43
HH_00115,187.1,23312,2,Urban,2,Yes,8.38
HH_00116,187.7,23280,7,Rural,1,No,9.75
HH_00117,249.2,34358,9,Rural,3,Yes,8.53
HH_00118,199.5,14649,4,Rural,2,No,9.99
HH_00119,188.4,55910,5,Urban,4,Yes,6.13
HH_00120,192.7,36060,4,Urban,4,Yes,6.69
HH_00121,173.7,20485,8,Urban,2,Yes,8.09
HH_00122,232.0,29981,4,Urban,3,Yes,7.31
HH_00123,220.8,29243,3,Urban,2,Yes,6.99
HH_00124,191.3,23042,8,Urban,2,Yes,7.51
HH_00125,250.8,45260,5,Urban,3,No,8.25
HH_00126,209.1,40291,4,Urban,3,No,8.31
HH_00127,193.9,13476,6,Urban,1,No,8.12
HH_00128,125.1,12993,3,Urban,1,No,7.5
HH_00129,210.5,45157,7,Urban,3,Yes,7.62
HH_00130,197.4,21459,4,Urban,2,No,6.94
HH_00131,201.6,41953,3,Urban,5,Yes,8.19
HH_00132,209.3,28758,3,Rural,4,No,9.76
HH_00133,190.5,16326,6,Urban,1,Yes,9.27
HH_00134,73.9,15005,5,Urban,1,No,7.11
HH_00135,273.2,95584,1,Urban,10,No,5.54
HH_00136,268.9,43219,6,Urban,5,No,7.68
HH_00137,198.4,13996,4,Rural,1,No,9.05
HH_00138,201.9,19985,3,Urban,1,Yes,8.46
HH_00139,175.7,13251,3,Rural,1,No,10.0
HH_00140,242.0,17132,4,Urban,1,Yes,9.07
